seminario,ponente,afiliacion,fecha,tipo_com
"Regímenes dinámicos ecológicos: identificación, caracterización y comparación",Martina Sánchez Pinillos,Université de Montpellier / Université du Québec à Montréal (UQAM), 28/09/2023,seminario online
Introducción al uso de filogenias en Ecología. El paquete randtip como método de abordar la incompletitud filogenética,Ignacio Ramos,Universidad Autónoma de Madrid,29/05/2023,seminario online
Introducción a Zotero: cómo organizar nuestras referencias de forma accesible y cómo citar fácilmente en R con Quarto/Rmarkdown,Darío San Segundo Molina,Universidad de Alcalá, 20/02/2023,seminario online
Introducción al mundo de la bioacústica y aplicaciones metodológicas. ¡Escucha qué dicen tus datos!,Elena Tena,Estación Biológica de Doñana - CSIC,29/11/2022,seminario online
Introducción al análisis espacial de patrones de puntos. ¿Qué hago con mis coordenadas espaciales?,Antonio Perea Martos,"Estación Experimental del Zaidín - CSIC, Granada",24/10/2022,seminario online
Integración de datos en la estima de la distribución y abundancia animal,Javier Fernández-López,"CEFE - UCM (Montpellier, Francia)",29/09/2022,seminario online
Introducción al análisis de datos con Python,Virginia Domínguez-García,"Estación Biológica de Doñana - CSIC, Sevilla",05/07/2022,seminario online
Análisis de dinámicas poblacionales en R,David García-Callejas,"Landcare Research New Zealand, University of Canterbury",06/06/2022,seminario online
Generación de visores de datos espaciales con R,Antonio J. Pérez-Luque,"Estación Experimental del Zaidín CSIC, Granada",05/05/2022,seminario online
Análisis de la ciencia ciudadana mediante modelos de ocupación,Guillermo Fandos Guzmán,Universidad Complutense de Madrid,30/03/2022,seminario online
"Estadística bayesiana: principios, teorema de bayes y su aplicación",Paloma Ruiz-Benito,Universidad de Alcalá (UAH),28/02/2022,seminario online
"Estadística bayesiana: principios, teorema de bayes y su aplicación",Ignacio Morales-Castilla,Universidad de Alcalá (UAH),28/02/2022,seminario online
"Búsqueda, descarga y limpieza de datos de biodiversidad desde GBIF. Una odisea ecoinformática",Carlos Lara Romero," Universidad Rey Juan Carlos, Madrid",31/01/2022,seminario online
